projectname,viewname,ordinal,varname,vartype,varlength,varformat,varlabel
Mediflex,V_MEDIFLEX_EG_RAW,49,ECG_RHYTHM,char,200,$200.,ECG_rhythm
Mediflex,V_MEDIFLEX_EG_RAW,50,ECG_RHYTHM_STD,char,25,$25.,ECG_rhythmCoded Value
Mediflex,V_MEDIFLEX_EG_RAW,51,EGORRES_NORMAB,char,200,$200.,EGORRES_NORMAB
Mediflex,V_MEDIFLEX_EG_RAW,52,EGORRES_NORMAB_STD,char,25,$25.,EGORRES_NORMABCoded Value
Mediflex,V_MEDIFLEX_EG_RAW,53,EGORRES_NORMAB1,char,200,$200.,EGORRES_NORMAB1
Mediflex,V_MEDIFLEX_EG_RAW,54,EGORRES_NORMAB1_STD,char,25,$25.,EGORRES_NORMAB1Coded Value
Mediflex,V_MEDIFLEX_EG_RAW,55,EGORRES_NORMAB2,char,200,$200.,EGORRES_NORMAB2
Mediflex,V_MEDIFLEX_EG_RAW,56,EGORRES_NORMAB2_STD,char,25,$25.,EGORRES_NORMAB2Coded Value
Mediflex,V_MEDIFLEX_EG_RAW,57,EGORRES_ABSPRES,char,200,$200.,EGORRES_ABSPRES
Mediflex,V_MEDIFLEX_EG_RAW,58,EGORRES_ABSPRES_STD,char,25,$25.,EGORRES_ABSPRESCoded Value
Mediflex,V_MEDIFLEX_EG_RAW,59,EGORRES_EXTRA,char,25,$25.,EGORRES_EXTRA
Mediflex,V_MEDIFLEX_EG_RAW,60,EGORRES_EXTRA_STD,char,25,$25.,EGORRES_EXTRACoded Value
Mediflex,V_MEDIFLEX_EG_RAW,61,EGORRES_CHAM,char,25,$25.,EGORRES_CHAM
Mediflex,V_MEDIFLEX_EG_RAW,62,EGORRES_CHAM_STD,char,25,$25.,EGORRES_CHAMCoded Value
Mediflex,V_MEDIFLEX_EG_RAW,63,EGORRES_NORMAB3,char,200,$200.,EGORRES_NORMAB3
Mediflex,V_MEDIFLEX_EG_RAW,64,EGORRES_NORMAB3_STD,char,25,$25.,EGORRES_NORMAB3Coded Value
Mediflex,V_MEDIFLEX_EG_RAW,65,EGORRES_NORMAB4,char,200,$200.,EGORRES_NORMAB4
Mediflex,V_MEDIFLEX_EG_RAW,66,EGORRES_NORMAB4_STD,char,25,$25.,EGORRES_NORMAB4Coded Value
Mediflex,V_MEDIFLEX_EG_RAW,67,EDEVAL,char,50,$50.,EDEVAL
Mediflex,V_MEDIFLEX_EG_RAW,68,EGXFN,char,200,$200.,EGXFN
Mediflex,V_MEDIFLEX_EG_RAW,69,EGNAM,char,200,$200.,EGNAM
Mediflex,V_MEDIFLEX_EG_RAW,70,EGLOINC,char,200,$200.,EGLOINC
Mediflex,V_MEDIFLEX_EG_RAW,71,EGORRES_QTCF,char,4,$4.,EGORRES_QTCF
Mediflex,V_MEDIFLEX_EG_RAW,72,EGORRES_QTCB,char,4,$4.,EGORRES_QTCB
Mediflex,V_MEDIFLEX_EG_RAW,73,EGORRES_TAMP,char,4,$4.,EGORRES_TAMP
Mediflex,V_MEDIFLEX_EG_RAW,74,ECGTEXT,char,500,$500.,ECGTEXT
Mediflex,V_MEDIFLEX_EN,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_EN,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_EN,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_EN,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_EN,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_EN,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_EN,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_EN,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_EN,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_EN,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_EN,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_EN,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_EN,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_EN,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_EN,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_EN,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_EN,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_EN,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_EN,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_EN,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_EN,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_EN,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_EN,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_EN,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_EN,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_EN,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_EN,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_EN,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_EN,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_EN,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_EN,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_EN,32,SUBJINIT,char,3,$3.,SUBJINIT
Mediflex,V_MEDIFLEX_EN,33,SUBJID,char,7,$7.,SUBJID
Mediflex,V_MEDIFLEX_EN,34,USUBJID,char,11,$11.,USUBJID
Mediflex,V_MEDIFLEX_EN_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_EN_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_EN_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_EN_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_EN_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_EN_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_EN_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_EN_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_EN_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_EN_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_EN_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_EN_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_EN_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_EN_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_EN_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_EN_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_EN_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_EN_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_EN_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_EN_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_EN_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_EN_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_EN_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_EN_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_EN_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_EN_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_EN_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_EN_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_EN_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_EN_RAW,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_EN_RAW,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_EN_RAW,32,SUBJINIT,char,3,$3.,SUBJINIT
Mediflex,V_MEDIFLEX_EN_RAW,33,SUBJID,char,7,$7.,SUBJID
Mediflex,V_MEDIFLEX_EN_RAW,34,USUBJID,char,11,$11.,USUBJID
Mediflex,V_MEDIFLEX_ENROL,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_ENROL,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_ENROL,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_ENROL,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_ENROL,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_ENROL,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_ENROL,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_ENROL,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_ENROL,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_ENROL,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_ENROL,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_ENROL,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_ENROL,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_ENROL,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_ENROL,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_ENROL,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_ENROL,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_ENROL,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_ENROL,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_ENROL,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_ENROL,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_ENROL,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_ENROL,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_ENROL,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_ENROL,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_ENROL,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_ENROL,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_ENROL,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_ENROL,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_ENROL,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_ENROL,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_ENROL,32,SUBID,char,10,$10.,SUBID
Mediflex,V_MEDIFLEX_ENROL,33,BIRTHDT,num,8,datetime22.3,BIRTHDT
Mediflex,V_MEDIFLEX_ENROL,34,BIRTHDT_RAW,char,11,$11.,BIRTHDT(Character)
Mediflex,V_MEDIFLEX_ENROL,35,BIRTHDT_INT,num,8,datetime22.3,BIRTHDTInterpolated
Mediflex,V_MEDIFLEX_ENROL,36,BIRTHDT_YYYY,num,8,4.,BIRTHDTYear
Mediflex,V_MEDIFLEX_ENROL,37,BIRTHDT_MM,num,8,2.,BIRTHDTMonth
Mediflex,V_MEDIFLEX_ENROL,38,BIRTHDT_DD,num,8,2.,BIRTHDTDay
Mediflex,V_MEDIFLEX_ENROL,39,SUBJINIT,char,3,$3.,SUBJINIT
Mediflex,V_MEDIFLEX_ENROL,40,SUBJID,char,7,$7.,SUBJID
Mediflex,V_MEDIFLEX_ENROL,41,USUBJID,char,11,$11.,USUBJID
Mediflex,V_MEDIFLEX_ENROL_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_ENROL_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_ENROL_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_ENROL_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_ENROL_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_ENROL_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_ENROL_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_ENROL_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_ENROL_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_ENROL_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_ENROL_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_ENROL_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_ENROL_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_ENROL_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_ENROL_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_ENROL_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_ENROL_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_ENROL_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_ENROL_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_ENROL_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_ENROL_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_ENROL_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_ENROL_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_ENROL_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_ENROL_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_ENROL_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_ENROL_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_ENROL_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_ENROL_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_ENROL_RAW,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_ENROL_RAW,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_ENROL_RAW,32,SUBID,char,10,$10.,SUBID
Mediflex,V_MEDIFLEX_ENROL_RAW,33,BIRTHDT,char,11,$11.,BIRTHDT
Mediflex,V_MEDIFLEX_ENROL_RAW,34,SUBJINIT,char,3,$3.,SUBJINIT
Mediflex,V_MEDIFLEX_ENROL_RAW,35,SUBJID,char,7,$7.,SUBJID
Mediflex,V_MEDIFLEX_ENROL_RAW,36,USUBJID,char,11,$11.,USUBJID
Mediflex,V_MEDIFLEX_EX,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_EX,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_EX,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_EX,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_EX,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_EX,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_EX,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_EX,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_EX,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_EX,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_EX,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_EX,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_EX,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_EX,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_EX,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_EX,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_EX,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_EX,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_EX,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_EX,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_EX,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_EX,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_EX,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_EX,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_EX,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_EX,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_EX,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_EX,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_EX,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_EX,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_EX,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_EX,32,EXTRT,char,25,$25.,EXTRT
Mediflex,V_MEDIFLEX_EX,33,EXDOSE,num,8,3.,EXDOSE
Mediflex,V_MEDIFLEX_EX,34,EXDOSE_RAW,char,4,$4.,EXDOSE(Character)
Mediflex,V_MEDIFLEX_EX,35,EXDOSTXT,char,25,$25.,EXDOSTXT
Mediflex,V_MEDIFLEX_EX,36,EXDOSTOT,num,8,10.,EXDOSTOT
Mediflex,V_MEDIFLEX_EX,37,EXDOSTOT_RAW,char,11,$11.,EXDOSTOT(Character)
Mediflex,V_MEDIFLEX_EX,38,EXDOSU,char,5,$5.,EXDOSU
Mediflex,V_MEDIFLEX_EX,39,EXSTDTC,num,8,datetime22.3,EXSTDTC
Mediflex,V_MEDIFLEX_EX,40,EXSTDTC_RAW,char,11,$11.,EXSTDTC(Character)
Mediflex,V_MEDIFLEX_EX,41,EXSTDTC_INT,num,8,datetime22.3,EXSTDTCInterpolated
Mediflex,V_MEDIFLEX_EX,42,EXSTDTC_YYYY,num,8,4.,EXSTDTCYear
Mediflex,V_MEDIFLEX_EX,43,EXSTDTC_MM,num,8,2.,EXSTDTCMonth
Mediflex,V_MEDIFLEX_EX,44,EXSTDTC_DD,num,8,2.,EXSTDTCDay
Mediflex,V_MEDIFLEX_EX,45,EXSTDTM,char,8,$8.,EXSTDTM
Mediflex,V_MEDIFLEX_EX,46,EXENDTC,num,8,datetime22.3,EXENDTC
Mediflex,V_MEDIFLEX_EX,47,EXENDTC_RAW,char,11,$11.,EXENDTC(Character)
Mediflex,V_MEDIFLEX_EX,48,EXENDTC_INT,num,8,datetime22.3,EXENDTCInterpolated
Mediflex,V_MEDIFLEX_EX,49,EXENDTC_YYYY,num,8,4.,EXENDTCYear
Mediflex,V_MEDIFLEX_EX,50,EXENDTC_MM,num,8,2.,EXENDTCMonth
Mediflex,V_MEDIFLEX_EX,51,EXENDTC_DD,num,8,2.,EXENDTCDay
Mediflex,V_MEDIFLEX_EX,52,EXENDTM,char,8,$8.,EXENDTM
Mediflex,V_MEDIFLEX_EX,53,EXDUR,num,8,10.,EXDUR
Mediflex,V_MEDIFLEX_EX,54,EXDUR_RAW,char,11,$11.,EXDUR(Character)
Mediflex,V_MEDIFLEX_EX,55,EXDOSFRM,char,25,$25.,EXDOSFRM
Mediflex,V_MEDIFLEX_EX,56,EXDOSFRQ,char,200,$200.,EXDOSFRQ
Mediflex,V_MEDIFLEX_EX,57,EXDOSFRQ_STD,char,25,$25.,EXDOSFRQCoded Value
Mediflex,V_MEDIFLEX_EX,58,EXROUTE,char,25,$25.,EXROUTE
Mediflex,V_MEDIFLEX_EX,59,EXROUTE_STD,char,25,$25.,EXROUTECoded Value
Mediflex,V_MEDIFLEX_EX,60,EXDOSRGM,char,25,$25.,EXDOSRGM
Mediflex,V_MEDIFLEX_EX,61,EXLOC,char,25,$25.,EXLOC
Mediflex,V_MEDIFLEX_EX,62,EXTRTV,char,25,$25.,EXTRTV
Mediflex,V_MEDIFLEX_EX,63,EXLOT,char,10,$10.,EXLOT
Mediflex,V_MEDIFLEX_EX_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_EX_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_EX_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_EX_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_EX_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_EX_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_EX_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_EX_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_EX_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_EX_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_EX_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_EX_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_EX_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_EX_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_EX_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_EX_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_EX_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_EX_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_EX_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_EX_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_EX_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_EX_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_EX_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_EX_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_EX_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_EX_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_EX_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_EX_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_EX_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_EX_RAW,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_EX_RAW,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_EX_RAW,32,EXTRT,char,25,$25.,EXTRT
Mediflex,V_MEDIFLEX_EX_RAW,33,EXDOSE,char,4,$4.,EXDOSE
Mediflex,V_MEDIFLEX_EX_RAW,34,EXDOSTXT,char,25,$25.,EXDOSTXT
Mediflex,V_MEDIFLEX_EX_RAW,35,EXDOSTOT,char,11,$11.,EXDOSTOT
Mediflex,V_MEDIFLEX_EX_RAW,36,EXDOSU,char,5,$5.,EXDOSU
Mediflex,V_MEDIFLEX_EX_RAW,37,EXSTDTC,char,11,$11.,EXSTDTC
Mediflex,V_MEDIFLEX_EX_RAW,38,EXSTDTM,char,8,$8.,EXSTDTM
Mediflex,V_MEDIFLEX_EX_RAW,39,EXENDTC,char,11,$11.,EXENDTC
Mediflex,V_MEDIFLEX_EX_RAW,40,EXENDTM,char,8,$8.,EXENDTM
Mediflex,V_MEDIFLEX_EX_RAW,41,EXDUR,char,11,$11.,EXDUR
Mediflex,V_MEDIFLEX_EX_RAW,42,EXDOSFRM,char,25,$25.,EXDOSFRM
Mediflex,V_MEDIFLEX_EX_RAW,43,EXDOSFRQ,char,200,$200.,EXDOSFRQ
Mediflex,V_MEDIFLEX_EX_RAW,44,EXDOSFRQ_STD,char,25,$25.,EXDOSFRQCoded Value
Mediflex,V_MEDIFLEX_EX_RAW,45,EXROUTE,char,25,$25.,EXROUTE
Mediflex,V_MEDIFLEX_EX_RAW,46,EXROUTE_STD,char,25,$25.,EXROUTECoded Value
Mediflex,V_MEDIFLEX_EX_RAW,47,EXDOSRGM,char,25,$25.,EXDOSRGM
Mediflex,V_MEDIFLEX_EX_RAW,48,EXLOC,char,25,$25.,EXLOC
Mediflex,V_MEDIFLEX_EX_RAW,49,EXTRTV,char,25,$25.,EXTRTV
Mediflex,V_MEDIFLEX_EX_RAW,50,EXLOT,char,10,$10.,EXLOT
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_FORM_PAIN_SI,6,subjectId,num,8,10.,Internal id for the subject
